recording_id,segment_id,split,signer_id,domain,genre,emotion,length_bucket,text_format,utterance_count,segmented_word_count,estimated_duration_seconds,segment_text,named_entities,named_entity_handling,safety_level,qc_flags,near_dup_cluster,review_status,source,source_ids,license_class,signer_instruction
VSL_SEG_000001,d00737,train,SIGNER_03,Công việc,,,standard,dialog_turns,8,79,59,"Chào anh, nghề nghiệp của anh là gì?|Tôi là nhân viên kế toán. Tôi làm việc ở văn phòng.|Anh làm việc ở văn phòng nào?|Tôi làm ở chi nhánh gần đây. Văn phòng rất rộng và hiện đại.|Công việc hằng ngày của anh thế nào?|Buổi sáng tôi tính tiền và ghi chép dữ liệu. Buổi chiều tôi làm báo cáo.|Anh có bận không?|Có, tôi rất bận. Nhưng tôi thích công việc này.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0001,qc_pass_pending_human_vsl_review,generated,d00737,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000002,d00739,train,SIGNER_02,Công việc,,,standard,dialog_turns,8,66,54,"Cô làm việc ở đâu?|Mình làm ở viện nghiên cứu khoa học, là chuyên gia.|Cô nghiên cứu lĩnh vực gì?|Mình nghiên cứu về môi trường và khí hậu.|Công việc có khó không?|Mình làm thí nghiệm trong phòng thí nghiệm.|Cô làm việc một mình hay theo nhóm?|Mình làm việc theo nhóm, chúng tôi hợp tác và thảo luận thường xuyên.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0002,qc_pass_pending_human_vsl_review,generated,d00739,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000003,d00740,train,SIGNER_04,Công việc,,,standard,dialog_turns,10,90,74,"Anh là giám đốc phải không?|Đúng, mình là giám đốc một doanh nghiệp nhỏ.|Doanh nghiệp của anh kinh doanh gì?|Chúng tôi kinh doanh giao hàng và vận chuyển bưu kiện.|Anh quản lý bao nhiêu nhân viên?|Mình quản lý khoảng 40 nhân viên, mỗi người có nhiệm vụ riêng.|Trách nhiệm của anh là gì?|Mình lãnh đạo, phân công công việc và quyết định chiến dịch quảng cáo.|Công việc có áp lực không?|Có áp lực, nhưng mình quyết tâm phát triển doanh nghiệp.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0003,qc_pass_pending_human_vsl_review,generated,d00740,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000004,d00741,train,SIGNER_01,Công việc,,,standard,dialog_turns,8,60,59,"Mình là phi công, mình lái máy bay.|Anh bay đến nước nào?|Mình bay đến Nhật, Anh và Pháp, thường ra nước ngoài.|Công việc của anh có an toàn không?|An toàn là quan trọng nhất.|Mình luôn cẩn thận và kiểm tra máy bay.|Anh có mệt không?|Bay xa thì mệt, nhưng mình yêu nghề này.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0004,qc_pass_pending_human_vsl_review,generated,d00741,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000005,d00742,train,SIGNER_02,Công việc,,,standard,dialog_turns,8,73,55,"Anh làm việc trong lĩnh vực nào?|Tôi làm về tin học. Tôi thiết kế trang oép.|Anh dùng công cụ gì?|Tôi dùng máy tính và máy tính láp-tóp. Tôi viết và chỉnh sửa nội dung.|Mỗi ngày anh làm gì?|Tôi kết nối hệ thống, xử lý dữ liệu và sửa lỗi.|Anh có làm việc với nhóm không?|Có, nhóm chúng tôi họp mỗi sáng và phân công nhiệm vụ.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0005,qc_pass_pending_human_vsl_review,generated,d00742,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000006,d00745,train,SIGNER_08,Công việc,,,standard,dialog_turns,8,72,54,"Anh làm việc trong văn phòng nào?|Tôi làm ở cơ quan nhà nước. Tôi là nhân viên hành chính.|Nhiệm vụ hằng ngày của anh là gì?|Tôi tiếp nhận thư, ký tên và sắp xếp giấy tờ.|Anh có dùng máy in không?|Có, tôi in báo cáo và gửi i-meo mỗi ngày.|Anh có hay họp không?|Tôi họp nhóm thường xuyên. Chúng tôi thảo luận nhiều vấn đề.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0006,qc_pass_pending_human_vsl_review,generated,d00745,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000007,d00746,train,SIGNER_05,Công việc,,,standard,dialog_turns,8,69,56,"Chào chị, chị làm nghề gì?|Mình là phiên dịch, mình dịch tiếng Anh.|Chị làm việc ở đâu?|Mình làm tại các hội nghị quốc tế và hội thảo, phải nghe rõ và hiểu nhanh.|Chị cần kỹ năng gì?|Mình cần kỹ năng giao tiếp và khả năng tập trung cao.|Chị có thích nghề này không?|Có, mình gặp nhiều người và học nhiều điều mới.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0007,qc_pass_pending_human_vsl_review,generated,d00746,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000008,d00752,train,SIGNER_08,Công việc,,,standard,dialog_turns,8,64,52,"Chị làm việc trong cửa hàng nào?|Mình làm ở cửa hàng bánh, bán bánh và bánh xăng-uých.|Mỗi sáng chị làm gì?|Mình mở cửa hàng, chuẩn bị đồ ăn và sắp xếp bàn.|Chị có đông khách không?|Buổi sáng rất đông khách, mình phục vụ liên tục.|Chị có mệt không?|Mệt, nhưng mình vui vì cửa hàng bán được nhiều.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0008,qc_pass_pending_human_vsl_review,generated,d00752,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000009,d00766,train,SIGNER_02,Công việc,,,standard,dialog_turns,8,64,55,"Cô làm việc trong cơ quan nào?|Mình làm ở cơ quan giáo dục, đào tạo nhân viên mới.|Cô đào tạo về gì?|Mình hướng dẫn kỹ năng và quy định công việc.|Cô dùng phương pháp gì?|Mình giải thích, trình bày và cho họ luyện tập.|Nhân viên có tiến bộ không?|Có, họ học nhanh và làm việc giỏi hơn.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0011,qc_pass_pending_human_vsl_review,generated,d00766,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
VSL_SEG_000010,d00797,train,SIGNER_07,Công việc,,,standard,dialog_turns,8,69,55,"Anh làm việc trong nhóm dự án à?|Đúng, Khoa là người phân tích trong nhóm.|Nhiệm vụ của anh là gì?|Khoa nghiên cứu, phân tích dữ liệu và đưa ra gợi ý.|Nhóm anh hợp tác thế nào?|Chúng tôi thảo luận, phân công và hỗ trợ lẫn nhau.|Dự án có thành công không?|Dự án đang tiến triển tốt. Chúng tôi quyết tâm hoàn thành.",,Tên riêng không có ký hiệu VSL -> đánh vần tay (FS:); nếu có ký hiệu địa phương quy ước thì dùng ký hiệu đó (ghi lại vào phiếu gán gloss).,green,,C0012,qc_pass_pending_human_vsl_review,generated,d00797,synthetic_CC-BY-4.0,"Ký tự nhiên theo nội dung đoạn hội thoại. Dấu '|' đánh dấu ĐỔI LƯỢT người nói (dùng để gán nhãn) — ký liền mạch, không cần dừng hẳn ở '|'. Giữ hai tay, khuôn mặt và thân trên trong khung hình, ánh mắt hướng camera. Với tên riêng chưa có ký hiệu quy ước -> đánh vần tay (FS:)."
