recording_id,segment_id,split,signer_id,text_format,segment_text,gold_gloss_sequence,vietnamese_translation,fingerspelled_items_FS,classifier_or_NM_notes,annotator_id,double_annotated,iaa_reviewed,annotation_status,notes
VSL_SEG_000001,d00737,train,SIGNER_03,dialog_turns,"Chào anh, nghề nghiệp của anh là gì?|Tôi là nhân viên kế toán. Tôi làm việc ở văn phòng.|Anh làm việc ở văn phòng nào?|Tôi làm ở chi nhánh gần đây. Văn phòng rất rộng và hiện đại.|Công việc hằng ngày của anh thế nào?|Buổi sáng tôi tính tiền và ghi chép dữ liệu. Buổi chiều tôi làm báo cáo.|Anh có bận không?|Có, tôi rất bận. Nhưng tôi thích công việc này.",,,,,,no,no,pending,
VSL_SEG_000002,d00739,train,SIGNER_02,dialog_turns,Cô làm việc ở đâu?|Hiệp Hòa làm ở viện nghiên cứu khoa học. Hiệp Hòa là chuyên gia.|Cô nghiên cứu lĩnh vực gì?|Hiệp Hòa nghiên cứu về môi trường và khí hậu.|Công việc có khó không?|Hiệp Hòa làm thí nghiệm trong phòng thí nghiệm.|Cô làm việc một mình hay theo nhóm?|Hiệp Hòa làm việc theo nhóm. Chúng tôi hợp tác và thảo luận thường xuyên.,,,,,,no,no,pending,
VSL_SEG_000003,d00740,train,SIGNER_04,dialog_turns,"Anh là giám đốc phải không?|Đúng, An Dương Vương là giám đốc một doanh nghiệp nhỏ.|Doanh nghiệp của anh kinh doanh gì?|Chúng tôi kinh doanh giao hàng và vận chuyển bưu kiện.|Anh quản lý bao nhiêu nhân viên?|An Dương Vương quản lý khoảng 40 nhân viên. Mỗi người có nhiệm vụ riêng.|Trách nhiệm của anh là gì?|An Dương Vương lãnh đạo, phân công công việc và quyết định chiến dịch quảng cáo.|Công việc có áp lực không?|Có áp lực, nhưng An Dương Vương quyết tâm phát triển doanh nghiệp.",,,,,,no,no,pending,
VSL_SEG_000004,d00741,train,SIGNER_01,dialog_turns,"Lý Thường Kiệt là phi công. Lý Thường Kiệt lái máy bay.|Lý Thường Kiệt bay đến nước nào?|Lý Thường Kiệt bay đến Nhật, Anh và Pháp. Lý Thường Kiệt thường ra nước ngoài.|Công việc của Lý Thường Kiệt có an toàn không?|An toàn là quan trọng nhất.|Lý Thường Kiệt luôn cẩn thận và kiểm tra máy bay.|Lý Thường Kiệt có mệt không?|Bay xa thì mệt, nhưng Lý Thường Kiệt yêu nghề này.",,,,,,no,no,pending,
VSL_SEG_000005,d00742,train,SIGNER_02,dialog_turns,"Anh làm việc trong lĩnh vực nào?|Tôi làm về tin học. Tôi thiết kế trang oép.|Anh dùng công cụ gì?|Tôi dùng máy tính và máy tính láp-tóp. Tôi viết và chỉnh sửa nội dung.|Mỗi ngày anh làm gì?|Tôi kết nối hệ thống, xử lý dữ liệu và sửa lỗi.|Anh có làm việc với nhóm không?|Có, nhóm chúng tôi họp mỗi sáng và phân công nhiệm vụ.",,,,,,no,no,pending,
VSL_SEG_000006,d00745,train,SIGNER_08,dialog_turns,"Anh làm việc trong văn phòng nào?|Tôi làm ở cơ quan nhà nước. Tôi là nhân viên hành chính.|Nhiệm vụ hằng ngày của anh là gì?|Tôi tiếp nhận thư, ký tên và sắp xếp giấy tờ.|Anh có dùng máy in không?|Có, tôi in báo cáo và gửi i-meo mỗi ngày.|Anh có hay họp không?|Tôi họp nhóm thường xuyên. Chúng tôi thảo luận nhiều vấn đề.",,,,,,no,no,pending,
VSL_SEG_000007,d00746,train,SIGNER_05,dialog_turns,"Chào chị, chị làm nghề gì?|Gia Long là phiên dịch. Gia Long dịch tiếng Anh.|Chị làm việc ở đâu?|Gia Long làm tại các hội nghị quốc tế và hội thảo. Gia Long phải nghe rõ và hiểu nhanh.|Chị cần kỹ năng gì?|Gia Long cần kỹ năng giao tiếp và khả năng tập trung cao.|Chị có thích nghề này không?|Gia Long gặp nhiều người và học nhiều điều mới.",,,,,,no,no,pending,
VSL_SEG_000008,d00752,train,SIGNER_08,dialog_turns,"Chị làm việc trong cửa hàng nào?|Tự Đức làm ở cửa hàng bánh. Tự Đức bán bánh và bánh xăng-uých.|Mỗi sáng chị làm gì?|Tự Đức mở cửa hàng, chuẩn bị đồ ăn và sắp xếp bàn.|Chị có đông khách không?|Buổi sáng rất đông khách. Tự Đức phục vụ liên tục.|Chị có mệt không?|Mệt, nhưng Tự Đức vui vì cửa hàng bán được nhiều.",,,,,,no,no,pending,
VSL_SEG_000009,d00766,train,SIGNER_02,dialog_turns,"Cô làm việc trong cơ quan nào?|Mạc Đĩnh Chi làm ở cơ quan giáo dục. Mạc Đĩnh Chi đào tạo nhân viên mới.|Cô đào tạo về gì?|Mạc Đĩnh Chi hướng dẫn kỹ năng và quy định công việc.|Cô dùng phương pháp gì?|Mạc Đĩnh Chi giải thích, trình bày và cho họ luyện tập.|Nhân viên có tiến bộ không?|Có, họ học nhanh và làm việc giỏi hơn.",,,,,,no,no,pending,
VSL_SEG_000010,d00797,train,SIGNER_07,dialog_turns,"Anh làm việc trong nhóm dự án à?|Đúng, Lý Nam Đế là người phân tích trong nhóm.|Nhiệm vụ của anh là gì?|Lý Nam Đế nghiên cứu, phân tích dữ liệu và đưa ra gợi ý.|Nhóm anh hợp tác thế nào?|Chúng tôi thảo luận, phân công và hỗ trợ lẫn nhau.|Dự án có thành công không?|Dự án đang tiến triển tốt. Chúng tôi quyết tâm hoàn thành.",,,,,,no,no,pending,
VSL_SEG_000011,d00802,train,SIGNER_08,dialog_turns,"Chào anh, hôm nay anh có bận không?|Tôi muốn hỏi về lương tháng này.|Chào em, anh không bận.|Em hỏi đi, có vấn đề gì về tiền lương vậy?|Lương tháng này của em hình như thiếu, em đếm thấy không đủ.|Để anh kiểm tra lại bảng lương cho em.|Có thể kế toán tính nhầm con số.|Em cảm ơn anh.|Em lo lắng vì tiền lương rất quan trọng với em.|Em yên tâm, anh sẽ giải quyết.|Nếu thiếu thật, công ty sẽ trả bù cho em.",,,,,,no,no,pending,
VSL_SEG_000012,d00803,train,SIGNER_07,dialog_turns,"Anh ơi, khi nào công ty trả thưởng cuối năm vậy?|Phần thưởng cuối năm sẽ trả vào tháng mười hai, trước lễ.|Năm nay thưởng nhiều không anh?|Em trông chờ lắm.|Năm nay công ty làm ăn tốt, kết quả kinh doanh cao nên thưởng nhiều hơn.|Nghe vậy em rất vui.|Em sẽ cố gắng làm việc chăm chỉ hơn.|Đúng vậy, em chăm chỉ thì cơ hội thưởng cao sẽ tăng.",,,,,,no,no,pending,
VSL_SEG_000013,d00804,train,SIGNER_04,dialog_turns,"Sáng mai chúng ta có họp nhóm, em chuẩn bị báo cáo chưa?|Em chuẩn bị gần xong rồi, còn vài chi tiết em cần xem lại.|Cuộc họp bắt đầu lúc tám giờ, em đừng đến muộn nhé.|Vâng, em sẽ đến sớm.|Họp ở phòng nào vậy anh?|Họp ở phòng họp lầu hai.|Nhớ mang theo dữ liệu và biểu đồ.|Em hiểu rồi.|Em sẽ in báo cáo và chuẩn bị máy tính.",,,,,,no,no,pending,
VSL_SEG_000014,d00805,train,SIGNER_06,dialog_turns,"Cuộc họp hôm nay bàn về chủ đề gì vậy chị?|Chúng ta sẽ thảo luận về dự án mới và phân công nhiệm vụ.|Em mong được tham gia dự án này.|Em nghĩ nó rất thú vị.|Tốt, thái độ của em rất tích cực.|Em có ý tưởng gì không?|Em có vài gợi ý về phương pháp làm việc hiệu quả hơn.|Vậy trong cuộc họp em phát biểu nhé, mọi người sẽ lắng nghe.",,,,,,no,no,pending,
VSL_SEG_000015,d00806,train,SIGNER_03,dialog_turns,"Chào em, em là nhân viên mới phải không?|Chào mừng em đến công ty.|Vâng, chào anh.|Em rất vui được gặp gỡ các đồng nghiệp.|Anh là người quản lý nhóm.|Có gì khó khăn em cứ hỏi anh.|Em mong được hợp tác cùng mọi người.|Em yên tâm, ở đây mọi người thân thiết và hỗ trợ nhau.|Em rất mừng.|Em sẽ cố gắng học hỏi kinh nghiệm từ các anh chị.",,,,,,no,no,pending,
VSL_SEG_000016,d00807,train,SIGNER_01,dialog_turns,"Anh nghe nói em sắp được thăng tiến lên chức trưởng nhóm, đúng không?|Vâng, giám đốc thông báo em sẽ nhận chức vụ mới tháng sau.|Chúc mừng em!|Em xứng đáng vì em làm việc chăm chỉ và có năng lực.|Em hơi hồi hộp vì trách nhiệm sẽ nặng hơn.|Em đừng lo, em có kinh nghiệm và kỹ năng tốt.|Em sẽ làm được.|Em sẽ cố gắng lãnh đạo nhóm và hoàn thành mục tiêu công ty giao.",,,,,,no,no,pending,
VSL_SEG_000017,d00808,train,SIGNER_01,dialog_turns,"Em ơi, chiều nay em có thời gian gặp anh để nói về công việc không?|Dạ có, chiều em rảnh.|Anh muốn nói về vấn đề gì vậy?|Anh muốn đánh giá kết quả công việc của em trong tháng vừa qua.|Vâng, em hơi căng thẳng.|Em không biết mình làm tốt hay chưa.|Em đừng lo, kết quả của em rất tốt.|Năng suất của em cao.|Em sẽ tiếp tục cải thiện và cố gắng nhiều hơn.",,,,,,no,no,pending,
VSL_SEG_000018,d00811,train,SIGNER_04,dialog_turns,"Anh ơi, đồng nghiệp mới ngồi cạnh em làm việc rất giỏi.|Sương đó có kinh nghiệm gì đặc biệt không em?|Sương đó thành thạo nhiều kỹ năng và rất chăm chỉ, nhanh nhẹn.|Tốt, em nên học hỏi kinh nghiệm từ Sương để cải thiện công việc.|Vâng, em sẽ cố gắng.|Em và Sương đó hợp tác rất ăn ý.|Nhóm có người giỏi thì kết quả công việc sẽ tốt hơn.",,,,,,no,no,pending,
VSL_SEG_000019,d00812,train,SIGNER_06,dialog_turns,"Chị ơi, cuối tuần này công ty có tổ chức tiệc liên hoan không?|Có em, công ty tổ chức tiệc để kỷ niệm thành công của dự án.|Tất cả nhân viên đều được tham gia phải không chị?|Đúng vậy, giám đốc mời tất cả mọi người cùng tham dự. Em mong được gặp gỡ và trò chuyện với các đồng nghiệp khác. Tiệc bắt đầu lúc sáu giờ tối thứ bảy, em nhớ đến đúng giờ nhé.",,,,,,no,no,pending,
VSL_SEG_000020,d00813,train,SIGNER_07,dialog_turns,"Anh ơi, em muốn xin nghỉ phép hai ngày tuần sau được không?|Em xin nghỉ vì lý do gì vậy?|Em cần báo trước cho anh biết.|Em muốn nghỉ mát cùng gia đình.|Em đã hoàn thành hết công việc rồi.|Được, em viết đơn xin nghỉ rồi gửi cho anh kí duyệt nhé.|Em sẽ gửi đơn qua i-meo ngay hôm nay.|Tốt, anh sẽ xem xét và phân công người làm thay em.",,,,,,no,no,pending,
